dimension_group,algorithm,mean_final_value_rank,median_final_value_rank,final_value_wins,median_normalized_residual,mean_success_rate_1e_3,median_wall_time_seconds,problems
large_101_500,BIPOP-CMA-ES,3.1,3.0,0,0.042320065420118194,0.1,4.686770656233421,10
large_101_500,BasinGraph,1.15,1.0,9,0.0,0.9,0.3137576772569446,10
large_101_500,CMA-ES,2.5,2.5,0,0.03983350957835478,0.10333333333333335,4.567532374756411,10
large_101_500,Differential Evolution,5.7,5.0,0,0.667640848788305,0.0,0.37925621899194084,10
large_101_500,Latin Hypercube Sampling,6.4,6.0,0,0.7084521855641885,0.0,0.24211031249433285,10
large_101_500,Multi-start L-BFGS-B,3.25,4.0,2,0.10425668491506714,0.2,0.18091970850946376,10
large_101_500,Random Search,5.9,6.0,0,0.6728323333216735,0.0,0.160930947997258,10
medium_21_100,BIPOP-CMA-ES,3.9,4.0,0,0.40813390421745666,0.0016666666666666666,0.14347328152507538,20
medium_21_100,BasinGraph,1.6,1.0,14,0.0,0.7283333333333333,0.019250760000431875,20
medium_21_100,CMA-ES,2.95,3.0,2,0.2909920260367678,0.004999999999999999,0.13898846849042457,20
medium_21_100,Differential Evolution,5.0,5.0,1,1.7633026363621846,0.0,0.02710032300092275,20
medium_21_100,Latin Hypercube Sampling,6.2,6.0,0,2.0493177051065175,0.0,0.007448989243130175,20
medium_21_100,Multi-start L-BFGS-B,2.475,2.0,6,0.021537650383519555,0.29833333333333334,0.01642185373930255,20
medium_21_100,Random Search,5.875,6.0,1,0.9088132611911338,0.05,0.008653426993987474,20
small_2_20,BIPOP-CMA-ES,2.675,3.0,11,5.753861183897925e-16,0.7849999999999999,0.03466301050502803,20
small_2_20,BasinGraph,2.625,2.0,14,4.5004319347912385e-18,0.8016666666666667,0.01286668697139245,20
small_2_20,CMA-ES,3.375,3.0,9,5.363691458277383e-16,0.7266666666666667,0.026735052233561853,20
small_2_20,Differential Evolution,4.5,5.0,0,1.803358121367103e-11,0.765,0.010628208226989925,20
small_2_20,Latin Hypercube Sampling,6.3,6.0,0,0.004542087907472975,0.26,0.001846541505074075,20
small_2_20,Multi-start L-BFGS-B,2.725,2.0,12,2.486333445387212e-17,0.8083333333333333,0.006551135273184575,20
small_2_20,Random Search,5.8,6.0,2,0.0025064598244814306,0.38,0.0028983439842704,20
