algorithm,target_residual,success_rate,successes,problem_seed_pairs,median_nfe_to_target_successes
BIPOP-CMA-ES,1e-05,0.28,420,1500,194.0
BIPOP-CMA-ES,0.001,0.33466666666666667,502,1500,121.0
BIPOP-CMA-ES,0.1,0.6633333333333333,995,1500,225.0
BasinGraph,1e-05,0.72,1080,1500,115.0
BasinGraph,0.001,0.792,1188,1500,118.0
BasinGraph,0.1,0.8813333333333333,1322,1500,31.0
CMA-ES,1e-05,0.2613333333333333,392,1500,168.5
CMA-ES,0.001,0.31333333333333335,470,1500,99.5
CMA-ES,0.1,0.66,990,1500,233.5
Differential Evolution,1e-05,0.2633333333333333,395,1500,385.0
Differential Evolution,0.001,0.306,459,1500,223.0
Differential Evolution,0.1,0.36666666666666664,550,1500,41.0
Latin Hypercube Sampling,1e-05,0.020666666666666667,31,1500,344.0
Latin Hypercube Sampling,0.001,0.104,156,1500,317.0
Latin Hypercube Sampling,0.1,0.2906666666666667,436,1500,21.0
Multi-start L-BFGS-B,1e-05,0.474,711,1500,58.0
Multi-start L-BFGS-B,0.001,0.4826666666666667,724,1500,52.0
Multi-start L-BFGS-B,0.1,0.694,1041,1500,52.0
Random Search,1e-05,0.07866666666666666,118,1500,1.0
Random Search,0.001,0.172,258,1500,37.5
Random Search,0.1,0.33266666666666667,499,1500,2.0
