dimension,algorithm,mean_rank,median_rank,wins,problems
2,DE,2.0694444444444446,2.0,56,72
2,BIPOP_CMA_ES,2.5277777777777777,2.0,52,72
2,BasinGraph_v2,3.513888888888889,3.0,31,72
2,CMA_ES,3.5347222222222223,3.0,38,72
2,MS_LBFGSB,4.965277777777778,5.0,22,72
2,Random,5.625,6.0,0,72
2,LHS,5.763888888888889,6.0,0,72
5,BIPOP_CMA_ES,1.9444444444444444,1.5,48,72
5,CMA_ES,2.3541666666666665,2.0,43,72
5,BasinGraph_v2,3.3680555555555554,3.0,22,72
5,DE,3.6875,4.0,13,72
5,MS_LBFGSB,4.715277777777778,4.0,18,72
5,Random,5.875,6.0,0,72
5,LHS,6.055555555555555,6.0,0,72
10,BIPOP_CMA_ES,1.7361111111111112,1.0,53,72
10,CMA_ES,2.1805555555555554,2.0,39,72
10,BasinGraph_v2,3.2847222222222223,3.0,18,72
10,MS_LBFGSB,4.1875,4.0,20,72
10,DE,4.208333333333333,4.5,0,72
10,Random,5.972222222222222,6.0,0,72
10,LHS,6.430555555555555,7.0,0,72
