function_group,dimension,runs,mean_final_rank,archive_saturation_fraction,mean_archive_nodes,mean_graph_edges,mean_graph_edges_per_node,mean_positive_improvement_edge_fraction,center_local_activation_fraction,far_basin_activation_fraction
High conditioning / unimodal (f10-f14),2,15,4.533333333333333,1.0,80.0,160.0,2.0,0.39259113780561167,1.0,0.9333333333333333
High conditioning / unimodal (f10-f14),5,15,3.6,1.0,80.0,85.0,1.0625,0.46130262427123225,1.0,1.0
High conditioning / unimodal (f10-f14),10,15,3.2,1.0,80.0,75.93333333333334,0.9491666666666667,0.4682453719223251,1.0,1.0
Low/moderate conditioning (f6-f9),2,12,3.6666666666666665,1.0,80.0,298.75,3.734375,0.39446802918316415,1.0,1.0
Low/moderate conditioning (f6-f9),5,12,3.25,1.0,80.0,108.41666666666667,1.3552083333333333,0.5229528473427496,1.0,1.0
Low/moderate conditioning (f6-f9),10,12,3.4166666666666665,1.0,80.0,79.66666666666667,0.9958333333333332,0.5353952957782,1.0,1.0
Multimodal with global structure (f15-f19),2,15,3.933333333333333,1.0,80.0,260.06666666666666,3.2508333333333335,0.42520565106360064,1.0,0.8666666666666667
Multimodal with global structure (f15-f19),5,15,3.066666666666667,1.0,80.0,90.4,1.13,0.4630571546689119,1.0,0.8666666666666667
Multimodal with global structure (f15-f19),10,15,3.2666666666666666,1.0,80.0,85.86666666666666,1.0733333333333335,0.490764448710048,1.0,0.8666666666666667
Multimodal with weak structure (f20-f24),2,15,2.6666666666666665,1.0,80.0,258.53333333333336,3.231666666666667,0.4320413017873758,1.0,0.6666666666666666
Multimodal with weak structure (f20-f24),5,15,3.4,1.0,80.0,113.6,1.4200000000000002,0.54735030359515,1.0,0.6666666666666666
Multimodal with weak structure (f20-f24),10,15,3.2666666666666666,1.0,80.0,92.13333333333334,1.1516666666666666,0.4832417748520792,1.0,0.6
Separable (f1-f5),2,15,2.8,1.0,80.0,384.53333333333336,4.8066666666666675,0.42548869414557894,1.0,0.8
Separable (f1-f5),5,15,3.5,1.0,80.0,213.0,2.6625,0.49537614111561384,1.0,0.8666666666666667
Separable (f1-f5),10,15,3.3,1.0,80.0,142.06666666666666,1.7758333333333334,0.5052052728127623,0.9333333333333333,0.8666666666666667
